median_expr,tcc_label
-0.029459039,HGG
-0.294427457,PAM50_LumA
-0.487455956,PAM50_LumB
0.08261977,PAM50_LumA
0.016966698,PAM50_LumA
-0.086884093,PAM50_LumB
-0.185027759,PAM50_LumA
-0.173188064,PAM50_LumA
-0.549660612,PAM50_LumB
-0.306250101,PAM50_LumB
0.206842078,PAM50_Normal
-0.247289054,Large Bowel
0.490450939,Bladder
0.10420177,PAM50_Basal
-0.730544696,Rectum-Anus
-0.407365842,PAM50_LumA
0.623832902,Bladder
0.610947645,Bladder
0.539725303,Large Bowel
-1.032047244,PAM50_Her2
-0.523982349,PAM50_LumA
-0.128840547,PAM50_Normal
0.38531946,PAM50_Basal
-1.493248605,PAM50_LumA
0.036313235,PAM50_Normal
0.020349918,PAM50_LumA
-0.239224171,PAM50_LumA
-0.835974086,PAM50_LumB
0.926177861,Bladder
-0.55195051,PAM50_LumA
-0.504229551,PAM50_LumA
0.495343745,Large Bowel
0.200091453,Bladder
1.056675035,Bladder
1.012786163,Bladder
0.278385545,PAM50_Basal
0.689361006,Bladder
0.316169492,Large Bowel
0.868146617,Large Bowel
-0.475196399,Liver
0.011646319,PAM50_Normal
0.431555315,PAM50_Basal
1.391114485,Bladder
0.57971368,Bladder
0.203663012,Bladder
0.630494501,Bladder
1.125236867,Bladder
0.84639787,Bladder
0.945890208,Bladder
0.144768118,Bladder
0.903888571,Bladder
0.436155868,NeuroCarcinoid
0.928261904,Bladder
0.285421181,Bladder
1.301469765,Bladder
-0.5662622,PAM50_LumA
0.7912455,Bladder
-0.442997347,PAM50_LumB
0.755396613,Bladder
0.1812953,Bladder
-0.09290963,Bladder
0.559926736,Bladder
0.155406963,Bladder
0.43341424,Bladder
0.457377363,Bladder
0.075796674,Bladder
0.944773437,Bladder
0.557260956,Bladder
-0.691007059,PAM50_LumA
0.443601846,Bladder
1.262858724,Bladder
-0.031991995,Bladder
1.064683024,Bladder
0.23874587,Bladder
0.410492218,Bladder
-0.339337287,Sarcoma
0.529726055,Bladder
0.273251284,Bladder
0.317311484,Bladder
0.575107075,Bladder
-0.431139683,Bladder
0.464807504,Bladder
0.60954478,Bladder
0.698394042,Bladder
0.301730621,Bladder
-1.171718783,PAM50_LumA
-0.000361722,Bladder
0.786337942,Bladder
0.326309596,PAM50_Normal
0.495621268,Bladder
0.797821518,Bladder
0.994979567,Bladder
0.174384421,Bladder
0.387080538,Bladder
0.740794283,Bladder
-0.532811444,Bladder
0.386840812,Bladder
-0.122851315,Bladder
1.396661857,Bladder
0.787898554,Bladder
0.878459592,Bladder
0.672311168,Bladder
0.530912676,Bladder
-0.109524892,Bladder
1.0530481,Bladder
0.76571004,Bladder
0.265392152,Bladder
1.061597335,Bladder
0.394925822,Bladder
0.206536809,Bladder
0.881599401,Bladder
0.543775235,Bladder
0.110378561,Bladder
0.118845807,Bladder
1.523515136,Bladder
0.489818026,Bladder
1.48031288,Bladder
0.403002182,Bladder
-0.302031549,NeuroCarcinoid
0.955852794,Bladder
1.326061613,NeuroCarcinoid
0.158207125,Bladder
1.099121098,Bladder
0.877495003,Bladder
0.503514738,Bladder
1.091237215,Bladder
0.904433479,Bladder
0.976274302,Bladder
0.888021914,Bladder
1.366381451,Bladder
0.689063219,Bladder
0.609808377,Bladder
0.291505719,Bladder
1.314484634,Bladder
0.490508474,Bladder
0.754878888,Bladder
0.967652083,Bladder
0.920403143,Bladder
1.24168366,Bladder
0.503733368,Bladder
0.472020786,Bladder
0.883053176,Bladder
0.398039023,Bladder
0.278484953,Bladder
0.613988236,Bladder
-1.0694496,Kidney
-0.618200653,Kidney
0.388060319,Renal Pelvis
-0.851218889,Kidney
-0.606688829,Kidney
-0.591170766,Kidney
-0.650050897,Kidney
-0.723001591,Kidney
-0.321899403,Kidney
-0.660215778,Kidney
-0.664520233,Kidney
-0.613608381,Kidney
-0.225571237,Kidney
-0.28024749,Kidney
-0.636470539,Kidney
-0.749084454,Kidney
-0.675941899,Kidney
-0.981010729,Kidney
-0.58327063,Kidney
-0.506233517,Kidney
-0.635167668,Kidney
-0.114685882,Kidney
-0.973076327,Kidney
1.074754816,Renal Pelvis
0.619220547,Renal Pelvis
-0.578786815,Kidney
-0.317471368,Kidney
-0.614081204,Kidney
-0.520638827,Kidney
-0.621831429,Kidney
-0.747192628,Kidney
-0.356797204,Kidney
-0.651160905,Kidney
-0.626833715,Kidney
0.83351888,Renal Pelvis
-0.446057755,Kidney
-0.91749347,Kidney
-0.884160049,Kidney
-0.675329964,Kidney
-0.096236306,Kidney
-0.152355331,Kidney
-0.267182084,Kidney
-0.754114416,Kidney
0.782183482,Kidney
-0.198789429,Renal Pelvis
-0.733834225,Kidney
-0.726014404,Kidney
-0.150444992,Kidney
-0.028641546,Large Bowel
0.179451403,Large Bowel
0.499620133,Rectum-Anus
0.078821795,Large Bowel
-0.706669604,Large Bowel
-0.715628674,NeuroCarcinoid
0.394010943,Large Bowel
0.616478136,Large Bowel
-0.041792833,Large Bowel
0.503327678,Large Bowel
0.461707217,Large Bowel
-0.345733509,Large Bowel
0.561279221,Large Bowel
0.459053246,Large Bowel
0.570298925,Large Bowel
0.302929504,Large Bowel
-0.327849157,Large Bowel
0.488340709,Large Bowel
0.385062212,Large Bowel
0.151308065,Large Bowel
0.2796662,Large Bowel
1.170464159,Large Bowel
-0.105056376,Prostate
-0.119283216,Prostate
-0.550846391,Prostate
0.202140106,Large Bowel
0.088053314,Prostate
-0.05500525,Prostate
-0.010121683,Prostate
0.609059853,Large Bowel
0.071140695,Prostate
0.030091014,Large Bowel
0.535795913,Large Bowel
0.239236737,Large Bowel
-0.383756562,Prostate
0.242237549,Large Bowel
0.406961274,Prostate
0.788213749,LUSC
0.26432878,LUSC
0.820513497,LUSC
0.097965567,LUAD
-0.909589339,Kidney
0.913452707,LUSC
-0.464458638,Large Bowel
-0.614151185,LUAD
-0.085534583,Rectum-Anus
0.542084404,Bladder
-0.392916142,Kidney
-0.116100608,Kidney
-0.452110951,Kidney
0.079891621,Rectum-Anus
-0.276470327,Sarcoma
0.073986263,LUAD
-0.071150632,LUSC
-0.457570653,Kidney
-0.288289217,Large Bowel
0.029164586,Renal Pelvis
0.710056799,Large Bowel
0.394250859,Large Bowel
-0.580188591,Kidney
-0.95100749,Kidney
-0.546428064,LUAD
-0.067606589,LUAD
-1.113491527,Kidney
0.766818835,LUSC
0.273766949,LUAD
-0.447367757,Kidney
-0.126896795,LUAD
-0.298385119,Large Bowel
0.098893394,LUAD
-0.113065094,NeuroCarcinoid_Lung
0.349191227,LUSC
-0.089218422,Large Bowel
-0.506871808,Kidney
-0.514151942,Kidney
0.316606089,PAM50_Basal
0.152248228,PAM50_Basal
0.483193137,PAM50_Basal
0.016985026,PAM50_LumA
0.071005665,PAM50_Her2
0.934516815,Rectum-Anus
-0.046915223,LGG
0.123256654,Sarcoma
-0.215699449,HGG
-0.217228809,HGG
-0.881734472,HGG
-0.080716756,HGG
-0.1340938,HGG
0.008932433,HGG
-0.301400485,LGG
-0.151244137,HGG
-0.695862327,HGG
-0.437950322,HGG
-0.268087867,HGG
-0.21897605,HGG
-0.287486278,HGG
0.161849441,Head - Neck
-0.087267923,LGG
-0.336092436,HGG
-0.489445661,HGG
-0.164040372,HGG
0.550900883,Sarcoma
0.286717129,HGG
-0.772632063,HGG
0.018865189,HGG
0.258913304,HGG
1.086901537,NMSC
-0.472507144,HGG
0.402689339,HGG
-0.459999537,HGG
0.018339967,HGG
-0.380060266,HGG
-0.992147629,LGG
0.886197492,NMSC
-0.487162983,HGG
-0.697513637,LGG
-0.052387918,Melanoma
-0.827917303,Kidney
-0.82082683,Kidney
0.522407952,Melanoma
0.19323874,Lung NOS
0.210339608,LUSC
-0.41427534,Kidney
-0.556247601,LUAD
-0.107855781,LUSC
0.207853559,Melanoma
-0.018724087,LUAD
0.255998106,Melanoma
0.815923738,Sarcoma
-0.604542383,Kidney
0.168194251,Melanoma
0.65960427,Melanoma
-0.563161082,Kidney
-0.573518065,LUAD
0.7215235,LUSC
-0.266904849,Renal Pelvis
-0.196908644,Lung NOS
-0.213610561,Melanoma
0.064543014,Melanoma
-0.065395668,Melanoma
-0.850018795,Kidney
0.062413954,Renal Pelvis
-0.98711807,Kidney
-0.882645391,Kidney
-0.979444296,Kidney
-0.129516607,Lung NOS
0.644845417,Melanoma
-0.197243381,Melanoma
0.140036446,Melanoma
-0.405394725,Kidney
0.235427547,LUSC
0.311749456,NeuroCarcinoid_Lung
0.557844188,LUSC
0.049340031,LUAD
-0.425913139,LUAD
-0.055159894,LUAD
0.083105513,LUSC
-0.14748221,LUAD
-0.332798416,LUAD
-0.071879619,Lung NOS
0.565722231,LUSC
0.8416123,LUSC
0.468345562,Lung NOS
0.049058576,LUAD
0.329249091,NeuroCarcinoid_Lung
0.037259623,Lung NOS
-0.757597014,LUAD
0.470254273,LUSC
-0.230284393,Melanoma
0.100728139,Melanoma
-0.602104598,Kidney
0.571073331,Melanoma
-0.071900602,Melanoma
0.374297052,Melanoma
0.450426336,Melanoma
-0.011609134,Melanoma
-0.524916314,Melanoma
-0.008115331,Melanoma
0.168988684,Melanoma
-0.095767677,Melanoma
0.398564948,Melanoma
-0.213404996,Kidney
0.534228623,Renal Pelvis
0.130350841,Renal Pelvis
0.514052586,Sarcoma
-1.031671696,Kidney
